Multiplied Moves: 1296 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1260 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1332 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1224 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1332 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1188 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1024 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1024 | Depth: 5| Time: 0 seconds
Multiplied Moves: 992 | Depth: 6| Time: 6 seconds
Multiplied Moves: 1024 | Depth: 5| Time: 1 seconds
Multiplied Moves: 928 | Depth: 6| Time: 5 seconds
Multiplied Moves: 870 | Depth: 6| Time: 6 seconds
Multiplied Moves: 810 | Depth: 6| Time: 2 seconds
Multiplied Moves: 858 | Depth: 6| Time: 31 seconds
Multiplied Moves: 986 | Depth: 6| Time: 10 seconds
Multiplied Moves: 819 | Depth: 6| Time: 20 seconds
Multiplied Moves: 837Multiplied Moves: 1088 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1116Multiplied Moves: 1260 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1295 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1554 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1591 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1550 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1462 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1472 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1540 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1540 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1634 | Depth: 5| Time: 5 seconds
Multiplied Moves: 1554 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1440 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1440 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1365 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1406 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1419 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1178 | Depth: 5| Time: 0 seconds
Multiplied Moves: 780 | Depth: 6| Time: 2 seconds
Multiplied Moves: 783 | Depth: 6| Time: 6 seconds
Multiplied Moves: 784 | Depth: 6| Time: 2 seconds
Multiplied Moves: 728 | Depth: 6| Time: 4 seconds
Multiplied Moves: 783 | Depth: 6| Time: 2 seconds
Multiplied Moves: 675 | Depth: 6| Time: 4 seconds
Multiplied Moves: 768 | Depth: 6| Time: 1 seconds
Multiplied Moves: 775 | Depth: 6| Time: 5 seconds
Multiplied Moves: 702 | Depth: 6| Time: 2 seconds
Multiplied Moves: 832 | Depth: 6| Time: 1 seconds
Multiplied Moves: 960 | Depth: 6| Time: 4 seconds
Multiplied Moves: 840 | Depth: 6| Time: 2 seconds
Multiplied Moves: 870 | Depth: 6| Time: 3 seconds
Multiplied Moves: 957 | Depth: 6| Time: 2 seconds
Multiplied Moves: 924 | Depth: 6| Time: 4 seconds
Multiplied Moves: 1064 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1330 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1365 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1482 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1406 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1184 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1024 | Depth: 5| Time: 0 seconds
Multiplied Moves: 896 | Depth: 6| Time: 1 seconds
Multiplied Moves: 868 | Depth: 6| Time: 1 seconds
Multiplied Moves: 930 | Depth: 6| Time: 0 seconds
Multiplied Moves: 992 | Depth: 6| Time: 2 seconds
Multiplied Moves: 961 | Depth: 6| Time: 6 seconds
Multiplied Moves: 992 | Depth: 6| Time: 2 seconds
Multiplied Moves: 960 | Depth: 6| Time: 4 seconds
Multiplied Moves: 870 | Depth: 6| Time: 1 seconds
Multiplied Moves: 924 | Depth: 6| Time: 2 seconds
Multiplied Moves: 986 | Depth: 6| Time: 1 seconds
Multiplied Moves: 990 | Depth: 6| Time: 2 seconds
Multiplied Moves: 1254 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1443 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1400 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1400 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1330 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1258 | Depth: 5| Time: 0 seconds
Multiplied Moves: 928 | Depth: 6| Time: 2 seconds
Multiplied Moves: 928 | Depth: 6| Time: 2 seconds
Multiplied Moves: 957Multiplied Moves: 924Multiplied Moves: 1120 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1292 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1368 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1406 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1312 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1320 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1452 | Depth: 5| Time: 1 seconds
